time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
117458,0,368500,1,3.2,0,0.00000054,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,18,18,74,95,70,100
118452,0,368500,1,3.3,0,0.0000014,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,21,18,80,92,82,99
119448,0,368500,1,3.1,0,0.0000021,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,18,18,87,86,66,100
120446,0,368500,1,3.3,0,0.0000015,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,19,18,90,73,81,99
121440,0,368500,1,3.2,0,-0.0000031,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,20,18,92,72,83,100
122434,0,368500,1,3.5,0,0.0000046,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,14,18,90,72,52,100
123429,0,368500,1,3.3,0,0.0000039,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,18,18,78,80,83,78
124427,0,368500,1,3.2,0,0.0000068,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,15,18,70,87,66,76
125420,0,368500,1,3.1,0,0.0000075,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,13,18,77,69,74,90
126416,0,368500,1,3.2,0,0.0000017,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,19,18,85,75,90,98
127415,0,368500,1,3.3,0,-0.0000016,n/a,n/a,n/a,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,12,18,91,94,86,89
128413,0,368500,1,3.1,0,0.000003,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,18,18,96,72,91,71
129412,0,368500,1,3.4,0,0.0000064,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,15,18,100,64,93,71
130410,0,368500,1,3.3,0,-0.00000051,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,18,18,99,70,91,81
131409,0,368500,1,3.1,0,0.0000017,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,11,18,99,52,66,85
132404,0,368500,1,3.2,0,0.0000017,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,20,18,81,76,87,100
133399,0,368500,1,3.3,0,0.0000046,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,59,12,18,50,69,69,98
134395,0,368500,1,3.1,0,-0.0000015,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,15,18,77,80,100,71
135394,0,368500,1,3.2,0,0.00000038,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875060,1678528,58,19,18,91,96,77,75
