CELL_GLOBAL_ID,DATETIME,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4
1013,48:09.1,45,0.3,0.158673194,2364.8,-1001,-92.74887089,-10.79670515,29.47991656,-98.62338065,-10.81070536,23.6054068,-90.74417265,-10.79489685,31.4846148,-99.79701966,-10.81655077,22.4317678,-100.1888979,-10.81887953,22.03988959,-102.520019,-10.83800753,19.70876842
1013,53:09.1,45,0.3,0.158702877,2364.8,-1004,-92.74334894,-10.79669894,29.48543852,-98.61785869,-10.81068141,23.61092876,-90.7386507,-10.79489293,31.49013675,-99.80159282,-10.81657676,22.42719463,-100.1827134,-10.81884114,22.04607408,-102.5285178,-10.83809754,19.70026966
1009,23:09.1,45,0.1,0.079705831,-1622,-1334,-117.5636379,-40.79329565,14.66514958,-115.5589396,-40.79274733,16.66984781,-121.4404221,-40.79543295,10.7883654,-123.4381476,-40.79754614,8.790639819,-126.6365596,-40.80377885,5.592227895,-128.2416066,-40.80911862,3.987180829
1001,18:09.1,30,0.75,0.129818713,327.6,-2,-86.04527153,-10.7928581,36.18351592,-91.91978129,-10.79585525,30.30900616,-84.04057329,-10.79247153,38.18821416,-93.21861322,-10.79726369,29.01017423,-93.25289077,-10.79730686,28.97589669,-97.01087979,-10.80485437,25.21790766
1010,58:09.1,48,0.1,0.1,-1269,-1344,-114.8015886,-40.79259774,17.42719881,-116.8062869,-40.79305833,15.42250057,-120.7779321,-40.79492091,11.45085532,-122.6807966,-40.7966291,9.547990816,-122.8330111,-40.79680081,9.39577632,-124.9749387,-40.79997812,7.253848719
1009,28:09.1,59,0.1,0.1,-1485,-855,-118.0823889,-40.79348379,14.1463985,-120.0870872,-40.7944639,12.14170027,-120.859427,-40.79497977,11.36936048,-122.55511,-40.79649178,9.673677476,-122.7378394,-40.79669275,9.490948102,-125.9615969,-40.80205843,6.26719051
1005,58:09.1,91,0.75,0.41346104,1008,355.6,-84.23674955,-10.79250198,37.9920379,-90.1112593,-10.79447869,32.11752815,-82.23205131,-10.79224706,39.99673614,-95.08052669,-10.80017888,27.14826077,-96.31318776,-10.8029213,25.91559969,-97.73112355,-10.8072028,24.4976639
1002,13:09.1,58,0.1,0.1,-1010,-1024,-117.7378034,-40.79335632,14.49098402,-119.7425017,-40.79426171,12.48628578,-119.9560424,-40.79438511,12.27274502,-122.5711586,-40.79650909,9.657628845,-123.1446579,-40.7971717,9.084129521,-125.6170114,-40.80127774,6.611776022
1001,23:09.1,30,0.75,0.11810803,5,-477.2,-89.31057916,-10.7940299,32.91820829,-95.18508892,-10.80038256,27.04369854,-87.30588092,-10.79321019,34.92290653,-91.96675495,-10.7958992,30.2620325,-94.12319317,-10.79852504,28.10559428,-94.22667231,-10.79868677,28.00211514
1005,03:09.1,91,0.75,0.413354637,1008,355.2,-84.24652844,-10.79250353,37.98225901,-90.12103819,-10.7944847,32.10774926,-82.2418302,-10.79224804,39.98695725,-95.07684831,-10.80017181,27.15193915,-96.31210696,-10.80291854,25.91668049,-97.73277642,-10.80720865,24.49601103
